id,hsk_level,hanzi,pinyin,meaning_ja,explanation_ja,grammar_point_id,grammar_label_raw,source_site,source_id
1,1,我叫王芳，是学生。,"Wǒ jiào Wáng Fāng, shì xuéshēng.",私は王芳といいます、学生です。,「叫」は名前を名乗るときに使う動詞です。,1,叫,HSKsentences,1
2,1,我爱爸爸，也爱妈妈。,"Wǒ ài bàba, yě ài māma.",私は父も母も愛しています。,「也」は「〜も」を表す副詞です。,2,是／也／都,HSKsentences,2
3,1,这是我的爱好。,Zhè shì wǒ de àihào.,これが私の趣味です。,「是」はbe動詞にあたる基本の動詞です。,,是／也／都,HSKsentences,3
4,1,我们八点吃饭吧。,Wǒmen bā diǎn chīfàn ba.,私たち8時にご飯を食べましょう。,文末の「吧」は提案・勧誘の語気を表します。,,叫,HSKsentences,4
5,1,爸爸的生日是白天。,Bàba de shēngrì shì báitiān.,父の誕生日は昼間です。,「的」は所有・修飾を表す助詞です。,,曜日・日付,HSKsentences,5
6,1,这是一百块钱。,Zhè shì yìbǎi kuài qián.,これは百元です。,「个」などの量詞と同様、数量を表す基本表現です。,,想／多少／个,HSKsentences,6
7,1,半年后我去北京。,Bàn nián hòu wǒ qù Běijīng.,半年後に北京へ行きます。,「名詞＋后」で「〜後に」を表します。,,曜日・日付,HSKsentences,7
8,1,他们班半天没上课。,Tāmen bān bàntiān méi shàngkè.,彼らのクラスは半日授業がありませんでした。,「半天」は「かなりの時間・半日」という意味です。,,想／多少／个,HSKsentences,8
9,1,请帮我拿一个包子。,Qǐng bāng wǒ ná yí gè bāozi.,包子を一つ取ってください。,「请＋動詞」は丁寧な依頼を表します。,8,和／能／请,HSKsentences,9
10,2,帮忙拿一下杯子。,Bāngmáng ná yíxià bēizi.,ちょっとコップを取るのを手伝って。,「帮忙」は「手伝う」という意味の動詞です。,16,叫,HSKsentences,10
11,1,北京在中国的北边。,Běijīng zài Zhōngguó de běibiān.,北京は中国の北にあります。,「在」は場所を表す動詞です。,,是／也／都,HSKsentences,11
12,1,我想买一本子。,Wǒ xiǎng mǎi yì běnzi.,私はノートを一冊買いたいです。,「想＋動詞」で「〜したい」という願望を表します。,6,想／多少／个,HSKsentences,12
13,2,这个比那个贵。,Zhège bǐ nàge guì.,これはあれより高いです。,「比」を使った比較の基本表現です。,24,是／也／都,HSKsentences,13
14,1,别的人不是病人。,Bié de rén bú shì bìngrén.,他の人は病人ではありません。,「别的」は「他の」という意味の形容詞です。,,想／多少／个,HSKsentences,14
15,1,这个不大，不贵。,"Zhège bú dà, bú guì.",これは大きくなくて、高くもないです。,「不」は動詞・形容詞を否定する副詞です。,,是／也／都,HSKsentences,15
16,1,不对，不客气。,"Bú duì, bú kèqi.",違います、どういたしまして。,「不客气」は感謝への返答フレーズです。,,和／能／请,HSKsentences,16
17,1,不用谢，请喝茶。,"Búyòng xiè, qǐng hē chá.",お礼はいりません、お茶をどうぞ。,「不用」は「〜する必要はない」という意味です。,8,和／能／请,HSKsentences,17
18,2,这个菜比那个差。,Zhège cài bǐ nàge chà.,この料理はあれより劣ります。,「差」は「劣る・悪い」という形容詞です。,24,是／也／都,HSKsentences,18
19,1,她常常唱歌。,Tā chángcháng chànggē.,彼女はよく歌を歌います。,「常常」は「よく・いつも」という頻度の副詞です。,,在／有／呢,HSKsentences,19
20,4,车在车站上。,Chē zài chēzhàn shàng.,車は駅にあります。,「在」は所在を表す動詞です。,45,在／有／呢,HSKsentences,20
21,1,我要一张车票。,Wǒ yào yì zhāng chēpiào.,切符を一枚ください。,「要」は「欲しい・要る」という意味の動詞です。,,想／多少／个,HSKsentences,21
22,1,车上有很多人在吃饭。,Chē shàng yǒu hěn duō rén zài chīfàn.,車内でたくさんの人がご飯を食べています。,「在＋動詞」は動作の進行を表します。,,叫,HSKsentences,22
23,3,他出去了，一会儿出来。,"Tā chūqù le, yíhuìr chūlái.",彼は出かけて、少しして戻ってきます。,「出去」「出来」は方向補語を伴う移動表現です。,30,想／多少／个,HSKsentences,23
24,1,我想穿新衣服。,Wǒ xiǎng chuān xīn yīfu.,新しい服を着たいです。,「穿」は「着る」という動詞です。,,想／多少／个,HSKsentences,24
25,1,床上有一次错。,Chuáng shàng yǒu yí cì cuò.,ベッドの上に一つ間違いがあります。,「次」は回数を数える量詞です。,,曜日・日付,HSKsentences,25
26,2,我从大学来。,Wǒ cóng dàxué lái.,私は大学から来ました。,「从」は起点を表す前置詞です。,22,和／能／请,HSKsentences,26
27,1,大学生打车去打球。,Dàxuéshēng dǎchē qù dǎqiú.,大学生はタクシーに乗ってボールをしに行きます。,「打车」「打球」は「打＋名詞」の動詞句です。,,和／能／请,HSKsentences,27
28,1,到了，打开门吧。,"Dào le, dǎkāi mén ba.",着きました、ドアを開けましょう。,「到」は「到着する」という動詞です。,,想／多少／个,HSKsentences,28
29,1,请打电话给弟弟。,Qǐng dǎ diànhuà gěi dìdi.,弟に電話をかけてください。,「打电话」は「電話をかける」という動詞句です。,8,和／能／请,HSKsentences,29
30,1,地上有一个本子。,Dìshàng yǒu yí gè běnzi.,地面にノートが一冊あります。,「有」は存在を表す動詞です。,,是／也／都,HSKsentences,30
31,1,我在这里等你。,Wǒ zài zhèlǐ děng nǐ.,私はここであなたを待ちます。,「等」は「待つ」という動詞です。,,和／能／请,HSKsentences,31
32,1,这是第一次。,Zhè shì dì yī cì.,これは初めてです。,「第＋数字」で順序を表します。,,是／也／都,HSKsentences,32
33,3,我得到了一个电脑。,Wǒ dédào le yí gè diànnǎo.,私はパソコンを一台手に入れました。,「得到」は「手に入れる」という動詞です。,32,想／多少／个,HSKsentences,33
34,1,电视机和电视都在这儿。,Diànshìjī hé diànshì dōu zài zhèr.,テレビはどちらもここにあります。,「都」は「すべて・両方とも」という副詞です。,,是／也／都,HSKsentences,34
35,1,我们去电影院看电影。,Wǒmen qù diànyǐngyuàn kàn diànyǐng.,私たちは映画館へ映画を見に行きます。,「去＋場所＋動詞」で「〜しに行く」を表します。,5,和／能／请,HSKsentences,35
36,1,这个地点是好地方。,Zhège dìdiǎn shì hǎo dìfang.,この場所はいい所です。,「地点」「地方」はどちらも「場所」を意味する名詞です。,,叫,HSKsentences,36
37,1,请看地图。,Qǐng kàn dìtú.,地図を見てください。,「地图」は「地図」という名詞です。,8,想／多少／个,HSKsentences,37
38,1,他的动作不动。,Tā de dòngzuò bú dòng.,彼の動作は動きません。,「动作」は名詞、「动」は動詞として使われます。,,曜日・日付,HSKsentences,38
39,1,东边和东西都好。,Dōngbiān hé dōngxi dōu hǎo.,東側も物もどちらもいいです。,「东西」は「もの」という意味の名詞です。,,是／也／都,HSKsentences,39
40,1,我喜欢读书。,Wǒ xǐhuan dú shū.,私は読書が好きです。,「读书」は「本を読む・勉強する」という動詞句です。,11,想／多少／个,HSKsentences,40
41,1,对不起，我不对。,"Duìbuqǐ, wǒ bú duì.",すみません、私が間違っています。,「对不起」は謝罪の定型表現です。,,是／也／都,HSKsentences,41
42,1,你要多少？,Nǐ yào duōshao?,あなたはいくつ欲しいですか。,「多少」は数量を尋ねる疑問詞です。,6,想／多少／个,HSKsentences,42
43,1,我饿了，想吃饭。,"Wǒ è le, xiǎng chīfàn.",お腹が空いた、ご飯が食べたいです。,文末の「了」は状態の変化を表します。,6,是／也／都,HSKsentences,43
