id,hsk_level,title,characters,grammar_label_raw,source_site
1,1,自己紹介,"[""小明"", ""丽丽""]",叫／是／也／吗／喜欢,HSKspeaking_practice
2,1,お店で買い物,"[""小红"", ""售货员"", ""小李""]",想／多少钱／和／能／请,HSKspeaking_practice
3,1,友達との約束,"[""王芳"", ""张伟""]",喂／有时间／几点／怎么样,HSKspeaking_practice
4,2,レストランで注文,"[""服务员"", ""李明"", ""小美""]",因为／所以／得／而且／一样,HSKspeaking_practice
5,2,道を尋ねる,"[""Tom"", ""阿姨""]",怎么走／从…到…／着／就,HSKspeaking_practice
6,2,週末の予定と天気,"[""小刚"", ""丹丹"", ""小华""]",打算／听说／一边…一边…／应该／挺…的,HSKspeaking_practice
7,3,旅行の計画,"[""陈杰"", ""王丽"", ""刘涛""]",虽然…但是…／越…越…／把／除了…以外／只要…就…,HSKspeaking_practice
8,3,体調不良と病院,"[""阿强"", ""小林""]",让／顺便／说不定／着,HSKspeaking_practice
9,3,誕生日パーティーの準備,"[""美美"", ""小杰"", ""婷婷""]",得／由…来／一直／别让／会,HSKspeaking_practice
10,4,転職についての相談,"[""小周"", ""大伟"", ""玲玲""]",不但…而且…／与其…不如…／无论…都…／尽管…但是…／至于,HSKspeaking_practice
11,4,部屋探し,"[""阿杰"", ""王阿姨"", ""小敏""]",除了…以外／由于／把／得（義務）,HSKspeaking_practice
12,4,環境保護についての議論,"[""陈老师"", ""小雨"", ""阿凯""]",越来越／不但…而且…／只要…就…／与其…不如…,HSKspeaking_practice
13,1,家族紹介,"[""小美"", ""阿伟""]",有／吗／都,HSKspeaking_practice
14,1,好きな食べ物・飲み物,"[""丁丁"", ""小雪""]",也／都／太…了,HSKspeaking_practice
15,1,曜日と一週間の予定,"[""阳阳"", ""田田""]",呢／啊／在,HSKspeaking_practice
16,1,今何時？（時間を尋ねる）,"[""小龙"", ""阿丽""]",就／得／还,HSKspeaking_practice
17,2,病院の受付で,"[""小刘"", ""护士""]",了／先／一下／还,HSKspeaking_practice
18,2,郵便局で荷物を送る,"[""小林"", ""工作人员""]",还是／更,HSKspeaking_practice
19,2,美容院で髪型を相談,"[""小雨"", ""理发师""]",想／可以／先,HSKspeaking_practice
20,2,携帯電話を修理に出す,"[""阿强"", ""店员""]",了／就／可以,HSKspeaking_practice
21,3,就職活動の相談,"[""小雅"", ""阿哲""]",已经／但是／可以／才,HSKspeaking_practice
22,3,引っ越しの手続き,"[""小周"", ""老张""]",应该／只要／就,HSKspeaking_practice
23,3,大学の授業選び,"[""小艺"", ""阿飞""]",可是／对／才,HSKspeaking_practice
24,3,アルバイト先でのトラブル,"[""阿宁"", ""店长""]",应该／如果／就,HSKspeaking_practice
25,4,経済ニュースについての議論,"[""主持人"", ""王教授"", ""林方""]",由于／除了…以外／与其…不如…,HSKspeaking_practice
26,4,少子高齢化についての意見交換,"[""陈老师"", ""小雯"", ""大明""]",不但…而且…／至于／无论…都…／尽管…但是…,HSKspeaking_practice
27,4,AI技術の発展について,"[""主持人"", ""阿凯"", ""李博士""]",与其…不如…／无论…都…,HSKspeaking_practice
28,4,働き方改革についての議論,"[""张部长"", ""小陈"", ""阿美""]",只要…就…／除了…以外,HSKspeaking_practice
29,1,天気の話（今日の天気）,"[""小林"", ""阿明""]",也／可能,HSKspeaking_practice
30,1,誕生日はいつ？,"[""娜娜"", ""小刚""]",呢／呀,HSKspeaking_practice
31,1,好きな色は？,"[""小方"", ""阿雪""]",也／不,HSKspeaking_practice
32,1,ペットの紹介,"[""小艾"", ""阿龙""]",因为,HSKspeaking_practice
33,1,兄弟姉妹について,"[""阿俊"", ""小娟""]",比,HSKspeaking_practice
34,2,引っ越しの準備,"[""小婷"", ""阿超""]",还／在,HSKspeaking_practice
35,2,アルバイトの面接,"[""面试官"", ""阿泽""]",过／为什么,HSKspeaking_practice
36,2,図書館で本を借りる・返す,"[""图书馆员"", ""小茜""]",先／可以,HSKspeaking_practice
37,2,スポーツジムに入会,"[""工作人员"", ""阿伦""]",有／可以,HSKspeaking_practice
38,2,友達と映画の感想を話す,"[""小蕾"", ""阿泰""]",想／差点儿,HSKspeaking_practice
39,3,恋愛相談,"[""小柔"", ""阿静""]",与其…不如…／只要…才…,HSKspeaking_practice
40,3,結婚式の準備,"[""小茹"", ""阿玲""]",得,HSKspeaking_practice
41,3,出産祝いの相談,"[""小媛"", ""阿豪""]",应该／可以,HSKspeaking_practice
42,3,家族旅行の計画,"[""陈姐"", ""小凯""]",除了…以外／还,HSKspeaking_practice
43,3,留学の準備,"[""小萌"", ""王老师""]",除了…以外,HSKspeaking_practice
44,4,男女平等についての議論,"[""主持人"", ""刘教授"", ""小芳""]",虽然…但是…／除了…以外／只有…才…,HSKspeaking_practice
45,4,教育制度についての意見,"[""李女士"", ""张老师"", ""记者""]",除了…以外／与其…不如…,HSKspeaking_practice
46,4,子育てと仕事の両立,"[""小茵"", ""阿泓""]",尽管…但是…／与其…不如…,HSKspeaking_practice
47,4,メディアリテラシーについて,"[""周老师"", ""小蓓"", ""大卫""]",除了…以外／所以,HSKspeaking_practice
48,4,SNSの功罪について,"[""主持人"", ""吴博士"", ""小凡""]",一方面,HSKspeaking_practice
49,1,クラスメートに挨拶,"[""小龙"", ""小红""]",叫／吧／都,HSKspeaking_practice
50,1,教室の物を借りる,"[""小雨"", ""阿凯""]",还／就,HSKspeaking_practice
51,1,好きな科目,"[""小艺"", ""阿飞""]",因为／会／但是／可以,HSKspeaking_practice
52,1,朝ごはんは何を食べる？,"[""小陈"", ""阿美""]",了／没／有点儿／吧,HSKspeaking_practice
53,1,週末は何をする？,"[""田田"", ""阿丽""]",打算／可以／别,HSKspeaking_practice
54,2,カラオケに行く,"[""小雯"", ""大明""]",已经／吧／可以／还,HSKspeaking_practice
55,2,誕生日プレゼントを選ぶ,"[""小敏"", ""阿强""]",还／没／会／吧,HSKspeaking_practice
56,2,ホテルの予約,"[""服务员"", ""小周""]",还是／可以／从／到,HSKspeaking_practice
57,2,空港でチェックイン,"[""工作人员"", ""阿伟""]",把／可以／还,HSKspeaking_practice
58,2,電車の切符を買う,"[""小华"", ""阿宁""]",吧／还是／就／一些,HSKspeaking_practice
59,3,語学交換パートナーとの会話,"[""小陈"", ""Tom""]",越来越／因为／可以／就／别,HSKspeaking_practice
60,3,インターンシップの面接,"[""面试官"", ""小艺""]",为什么／因为／有没有／可以／会,HSKspeaking_practice
61,3,会社のプロジェクト会議,"[""张部长"", ""小陈"", ""阿美""]",已经／还／如果／不过／会,HSKspeaking_practice
62,3,同僚との意見の相違,"[""小雯"", ""阿飞""]",但是／如果／可以／应该,HSKspeaking_practice
63,3,上司からのフィードバック,"[""张部长"", ""小陈""]",但是／可以／而且／会,HSKspeaking_practice
64,4,都市と地方の格差について,"[""主持人"", ""王教授"", ""记者""]",虽然／但是／除了／以外／与其／不如／只有／才,HSKspeaking_practice
65,4,起業のリスクと魅力,"[""主持人"", ""刘教授"", ""小凡""]",不过／应该／与其／不如／只要／会,HSKspeaking_practice
66,4,投資と資産形成の相談,"[""李女士"", ""张老师""]",但／可以／应该,HSKspeaking_practice
67,4,老後の資金計画,"[""主持人"", ""吴博士"", ""小茵""]",越／可是／应该／除了／以外／可以,HSKspeaking_practice
68,4,医療制度についての議論,"[""主持人"", ""刘教授"", ""张老师""]",越来越／不过／应该／除了／以外／与其／不如／只要,HSKspeaking_practice
