id,hanzi,pinyin,meaning_ja,hsk_level,source_site
1,爱,ài,愛する,1,HSKpractice_exercises
2,爱好,àihào,趣味,1,HSKpractice_exercises
3,吧,ba,〜しましょう(語気助詞),1,HSKpractice_exercises
4,八,bā,8,1,HSKpractice_exercises
5,爸爸,bàba,お父さん,1,HSKpractice_exercises
6,白,bái,白い,1,HSKpractice_exercises
7,百,bǎi,100,1,HSKpractice_exercises
8,白天,báitiān,昼間,1,HSKpractice_exercises
9,半,bàn,半分,1,HSKpractice_exercises
10,班,bān,クラス,1,HSKpractice_exercises
11,半年,bànnián,半年,1,HSKpractice_exercises
12,半天,bàntiān,しばらくの間,1,HSKpractice_exercises
13,帮,bāng,手伝う,1,HSKpractice_exercises
14,帮忙,bāngmáng,手伝う,1,HSKpractice_exercises
15,包,bāo,含む,1,HSKpractice_exercises
16,包子,bāozi,肉まん,1,HSKpractice_exercises
17,北,běi,北,1,HSKpractice_exercises
18,杯,bēi,〜杯(量詞),1,HSKpractice_exercises
19,北边,běibian,北側,1,HSKpractice_exercises
20,北京,Běijīng,北京,1,HSKpractice_exercises
21,杯子,bēizi,コップ,1,HSKpractice_exercises
22,本,běn,〜冊(量詞),1,HSKpractice_exercises
23,本子,běnzi,ノート,1,HSKpractice_exercises
24,比,bǐ,〜より(比較),1,HSKpractice_exercises
25,别,bié,〜しないで,1,HSKpractice_exercises
26,别的,biéde,ほかの,1,HSKpractice_exercises
27,别人,biérén,他の人,1,HSKpractice_exercises
28,病,bìng,病気,1,HSKpractice_exercises
29,病人,bìngrén,病人,1,HSKpractice_exercises
30,不,bù,〜ではない,1,HSKpractice_exercises
31,不大,bùdà,大きくない,1,HSKpractice_exercises
32,不对,búduì,間違っている,1,HSKpractice_exercises
33,不客气,bú kèqi,どういたしまして,1,HSKpractice_exercises
34,不用,bùyòng,〜する必要がない,1,HSKpractice_exercises
35,菜,cài,料理,1,HSKpractice_exercises
36,茶,chá,お茶,1,HSKpractice_exercises
37,差,chà,足りない・劣る,1,HSKpractice_exercises
38,常,cháng,よく、しょっちゅう,1,HSKpractice_exercises
39,唱,chàng,歌う,1,HSKpractice_exercises
40,常常,chángcháng,しょっちゅう,1,HSKpractice_exercises
41,唱歌,chànggē,歌を歌う,1,HSKpractice_exercises
42,车,chē,電車、車,1,HSKpractice_exercises
43,车票,chēpiào,乗車券,1,HSKpractice_exercises
44,车上,chē shàng,車内,1,HSKpractice_exercises
45,车站,chēzhàn,駅,1,HSKpractice_exercises
46,吃,chī,食べる,1,HSKpractice_exercises
47,吃饭,chīfàn,ご飯を食べる,1,HSKpractice_exercises
48,出,chū,出る,1,HSKpractice_exercises
49,出来,chūlái,出てくる,1,HSKpractice_exercises
50,出去,chūqù,出ていく,1,HSKpractice_exercises
51,穿,chuān,着る,1,HSKpractice_exercises
52,床,chuáng,ベッド,1,HSKpractice_exercises
53,次,cì,〜回(量詞),1,HSKpractice_exercises
54,从,cóng,〜から,1,HSKpractice_exercises
55,错,cuò,間違い,1,HSKpractice_exercises
56,大,dà,大きい,1,HSKpractice_exercises
57,打,dǎ,（アルバイトを）する,1,HSKpractice_exercises
58,打车,dǎchē,タクシーに乗る,1,HSKpractice_exercises
59,打电话,dǎdiànhuà,電話をかける,1,HSKpractice_exercises
60,打开,dǎkāi,開ける,1,HSKpractice_exercises
61,打球,dǎqiú,球技をする,1,HSKpractice_exercises
62,大学,dàxué,大学,1,HSKpractice_exercises
63,大学生,dàxuéshēng,大学生,1,HSKpractice_exercises
64,到,dào,到着する,1,HSKpractice_exercises
65,地,de,(副詞を作る助詞),1,HSKpractice_exercises
66,的,de,〜の,1,HSKpractice_exercises
67,得到,dédào,得る,1,HSKpractice_exercises
68,等,děng,待つ,1,HSKpractice_exercises
69,第,dì,第〜(序数),1,HSKpractice_exercises
70,弟弟,dìdi,弟,1,HSKpractice_exercises
71,地上,dìshang,地面,1,HSKpractice_exercises
72,电,diàn,電気,1,HSKpractice_exercises
73,点,diǎn,〜時・少し,1,HSKpractice_exercises
74,电话,diànhuà,電話,1,HSKpractice_exercises
75,电视机,diànshìjī,テレビ,1,HSKpractice_exercises
76,电影院,diànyǐngyuàn,映画館,1,HSKpractice_exercises
77,电脑,diànnǎo,パソコン,1,HSKpractice_exercises
78,电视,diànshì,テレビ,1,HSKpractice_exercises
79,电影,diànyǐng,映画,1,HSKpractice_exercises
80,地点,dìdiǎn,場所,1,HSKpractice_exercises
81,地方,dìfāng,場所,1,HSKpractice_exercises
82,地图,dìtú,地図,1,HSKpractice_exercises
83,动,dòng,動く,1,HSKpractice_exercises
84,东,dōng,東,1,HSKpractice_exercises
85,东边,dōngbian,東側,1,HSKpractice_exercises
86,东西,dōngxī,もの,1,HSKpractice_exercises
87,动作,dòngzuò,動作,1,HSKpractice_exercises
88,都,dōu,みんな,1,HSKpractice_exercises
89,读,dú,読む,1,HSKpractice_exercises
90,读书,dúshū,読書する,1,HSKpractice_exercises
91,对,duì,正しい,1,HSKpractice_exercises
92,对不起,duìbuqǐ,すみません,1,HSKpractice_exercises
93,多,duō,多い,1,HSKpractice_exercises
94,多少,duōshao,いくつ,1,HSKpractice_exercises
95,饿,è,お腹がすいている,1,HSKpractice_exercises
96,二,èr,2,1,HSKpractice_exercises
97,儿子,érzi,息子,1,HSKpractice_exercises
98,饭,fàn,ご飯,1,HSKpractice_exercises
99,饭店,fàndiàn,レストラン・ホテル,1,HSKpractice_exercises
100,放,fàng,置く,1,HSKpractice_exercises
101,放假,fàngjià,休みになる,1,HSKpractice_exercises
102,放学,fàngxué,放課後になる,1,HSKpractice_exercises
103,房子,fángzi,家、部屋,1,HSKpractice_exercises
104,房间,fángjiān,部屋,1,HSKpractice_exercises
105,飞,fēi,飛ぶ,1,HSKpractice_exercises
106,非常,fēicháng,非常に,1,HSKpractice_exercises
107,飞机,fēijī,飛行機,1,HSKpractice_exercises
108,分,fēn,分(時間・点数),1,HSKpractice_exercises
109,分钟,fēnzhōng,〜分間,1,HSKpractice_exercises
110,风,fēng,風,1,HSKpractice_exercises
111,干,gàn,する,1,HSKpractice_exercises
112,干什么,gàn shénme,何をする,1,HSKpractice_exercises
