id,hsk_level,label,explanation,source_site
1,1,叫（名前の言い方）,「叫」は「〜という名前です」と名乗るときに使う動詞です。,HSKpractice_exercises
2,1,是／也／都／是吧,「也」は「〜も」という意味で、前の内容と同じであることを表します。,HSKpractice_exercises
3,1,几／了（変化）／多大,文末の「了」は状態の変化を表し、「多大」は年齢を尋ねる言い方です。,HSKpractice_exercises
4,1,会／怎么,「怎么＋動詞」で「どのように〜するか」という方法を尋ねます。,HSKpractice_exercises
5,1,曜日・日付／去+場所+做什么,,HSKpractice_exercises
6,1,想／多少／个,「想＋動詞」は「〜したい」、「个」はものを数える基本の量詞です。,HSKpractice_exercises
7,1,在／有／呢,「在」は存在（〜にいる）を表し、「呢」は軽い確認・強調のニュアンスを添えます。,HSKpractice_exercises
8,1,和／能／请,,HSKpractice_exercises
9,1,～点～分／前／什么时候,「什么时候」は「いつ」と時を尋ねる疑問詞です。,HSKpractice_exercises
10,1,怎么样／太～了／会（可能性）,文末の「了」は状態の変化を表し、「多大」は年齢を尋ねる言い方です。,HSKpractice_exercises
11,1,在～呢／喜欢做～／喂／吧,「在」は存在（〜にいる）を表し、「呢」は軽い確認・強調のニュアンスを添えます。,HSKpractice_exercises
12,1,可以／了／一点儿＋名詞／～后,「可以」は「〜してよい」という許可を表します。,HSKpractice_exercises
13,1,是～的／这些那些／听～说／○○年,「也」は「〜も」という意味で、前の内容と同じであることを表します。,HSKpractice_exercises
14,2,要／觉得／最／几と多,「觉得」は「〜と思う」という主観的な意見、「最」は「最も」を表します。,HSKpractice_exercises
15,2,是不是／每／多,「是不是」は確認を求める疑問文の形、「每」は「毎〜」という意味です。,HSKpractice_exercises
16,2,的（名詞化）／一下／真,「〜的时候」は「〜のとき」、「给＋人」は「〜に（対して）」を表す前置詞です。,HSKpractice_exercises
17,2,给／帮／～的时候／已经,「〜的时候」は「〜のとき」、「给＋人」は「〜に（対して）」を表す前置詞です。,HSKpractice_exercises
18,2,就／对～／还／有点儿,「有点儿＋形容詞」は「少し〜」とやや好ましくないニュアンスを添えます。,HSKpractice_exercises
19,2,怎么と为什么／什么意思／因为～所以～,「因为〜所以〜」は「〜なので〜だ」という因果関係を表します。,HSKpractice_exercises
20,2,还（継続）／時間＋就／离,,HSKpractice_exercises
21,2,……好吗／再／让请叫（使役）,「让＋人＋動詞」は「（人）に〜させる／〜するよう言う」という使役表現です。,HSKpractice_exercises
22,2,動詞の重ね型／結果補語 懂好完见错／从～,,HSKpractice_exercises
23,2,需要／不要不用别,,HSKpractice_exercises
24,2,比較構文(1) 比,,HSKpractice_exercises
25,2,可能／得（様態補語）／比較構文(2),「動詞＋得＋形容詞」で動作の様子・程度を表す様態補語です。,HSKpractice_exercises
