id,passage_id,question_order,question_text,choices,correct_choice_index
1,1,1,"搬到新家以后，""我""一开始为什么天天叫外卖？","[""因为不会做饭"", ""因为不喜欢做饭"", ""因为工作很忙"", ""因为没有厨房""]",0
2,1,2,"妈妈教""我""炒青菜的时候，第一步应该做什么？","[""把锅烧热"", ""放油"", ""放盐"", ""放菜""]",0
3,1,3,"""我""做的菜一开始怎么样？","[""一点味道都没有"", ""和妈妈做的一样好吃"", ""非常好吃"", ""不是太咸就是太淡""]",3
4,1,4,"室友看到""我""把菜炒糊的时候有什么反应？","[""帮\""我\""打扫厨房"", ""生气了"", ""没有说话"", ""笑得说不出话来""]",3
5,1,5,这篇文章主要想告诉我们什么？,"[""做饭很简单"", ""应该经常打电话问妈妈"", ""很多事情需要花时间学习"", ""外卖不健康""]",2
6,2,1,"""我们""是怎么去小镇的？","[""坐火车"", ""坐飞机"", ""骑自行车"", ""开车""]",0
7,2,2,民宿的房间是什么样的？,"[""很旧很脏"", ""很大很干净"", ""没有窗户"", ""不大但是很干净""]",3
8,2,3,爬山的时候，大家的心情有什么变化？,"[""一直很开心"", ""中间想放弃，后来觉得值得"", ""从头到尾都很轻松"", ""一直很累，没有变化""]",1
9,2,4,"晚上""我们""在哪里聊天？","[""小饭馆里"", ""火车上"", ""民宿的院子里"", ""山顶上""]",2
10,2,5,"""我""觉得跟朋友一起旅行怎么样？","[""比自己一个人旅行更有意思"", ""花钱太多"", ""没有自己一个人旅行有意思"", ""太累了，不想再去""]",0
11,3,1,"""我""为什么昨天晚上睡不着？","[""因为家里太吵"", ""因为要坐飞机"", ""因为对新工作感到紧张"", ""因为要准备考试""]",2
12,3,2,人事部的负责人做了什么？,"[""没有出现"", ""让\""我\""先回家休息"", ""让\""我\""自己找办公室"", ""带\""我\""参观办公室并介绍给大家""]",3
13,3,3,"上午""我""主要做了什么？","[""完成了一个大项目"", ""和经理吃饭"", ""熟悉公司的规章制度和工作流程"", ""参加了一个会议""]",2
14,3,4,下午经理做了什么？,"[""让\""我\""回家"", ""给\""我\""放假"", ""批评了\""我\"""", ""跟\""我\""聊工作安排并分配了项目""]",3
15,3,5,"下班以后，""我""的心情是怎样的？","[""很失望"", ""一点感觉都没有"", ""有点累，但对未来充满期待"", ""很后悔""]",2
16,4,1,作者尝试早起以后，结果怎么样？,"[""从此以后每天五点起床"", ""从来没有尝试过"", ""坚持了不到一个星期就放弃了"", ""坚持了很久，效果很好""]",2
17,4,2,作者认为早起的关键问题是什么？,"[""起床以后怎么安排时间"", ""早餐吃什么"", ""几点起床本身"", ""天气怎么样""]",0
18,4,3,如果只是提前起床，却没有明确目标，可能会有什么结果？,"[""睡眠不够，白天效率下降"", ""一定会成功"", ""没有任何影响"", ""身体会变得更健康""]",0
19,4,4,作者认为早晨的时间适合做什么？,"[""只适合工作"", ""只适合睡觉"", ""读书、锻炼身体或思考问题"", ""什么都不适合做""]",2
20,4,5,作者最后想表达的主要观点是什么？,"[""每个人都应该早起"", ""晚睡的人效率一定更高"", ""早起完全没有意义"", ""应该找到适合自己的作息节奏""]",3
21,5,1,文章认为人口老龄化是什么性质的问题？,"[""只是某一个国家的问题"", ""具有全球性质的社会现象"", ""与经济无关的问题"", ""已经完全解决的问题""]",1
22,5,2,从经济角度看，人口老龄化可能带来什么影响？,"[""完全没有影响"", ""社会保障体系压力减轻"", ""劳动力增加，生产效率提高"", ""劳动力比例下降，社保压力增大""]",3
23,5,3,从家庭角度看，年轻人可能面临什么问题？,"[""经济负担减轻"", ""与父母关系变差"", ""不需要照顾父母"", ""需要独自承担照顾长辈的责任，压力增大""]",3
24,5,4,有的国家采取了什么方式应对老龄化？,"[""让老年人搬到其他国家"", ""延迟退休年龄、鼓励生育"", ""减少社区服务"", ""禁止老年人工作""]",1
25,5,5,文章最后提出了什么观点？,"[""老龄化问题已经彻底解决"", ""老龄化只有坏处，没有好处"", ""年轻人应该完全不管老年人"", ""应该重新思考年龄与价值的关系""]",3
26,6,1,文章开头提出了什么问题？,"[""如何教育孩子"", ""如何提高收入"", ""怎样找到好工作"", ""什么才算是真正的成功""]",3
27,6,2,"很多人观念中的""成功""标准是什么？","[""与他人的关系"", ""内心的平静"", ""社会地位、收入、头衔等外在指标"", ""生活的满足感""]",2
28,6,3,文中提到的那位朋友做出了什么选择？,"[""出国留学"", ""一直没有改变"", ""换了一份收入更高的工作"", ""放弃高薪工作，回家乡从事平凡的职业""]",3
29,6,4,"那些在旁人眼中""很成功""的人，可能面临什么问题？","[""生活非常轻松"", ""完全没有烦恼"", ""焦虑和压力，难以真正快乐"", ""收入不稳定""]",2
30,6,5,文章最后认为，真正重要的是什么？,"[""尽量多赚钱"", ""达到社会认可的高度"", ""和别人比较"", ""找到适合自己的生活方式，获得内心满足""]",3
31,7,1,"""我""为什么搬到新的城市？","[""房租太贵"", ""想换个环境"", ""因为工作的原因"", ""想离家人近一点""]",2
32,7,2,"搬家那天，""我""发现了什么？","[""搬家公司来晚了"", ""东西比想象的多"", ""什么东西都没有"", ""新家很小""]",1
33,7,3,"到新家以后，""我""遇到了什么困难？","[""没有钱"", ""找不到工作"", ""经常迷路，不熟悉环境"", ""身体不舒服""]",2
34,7,4,"楼下的邻居对""我""怎么样？","[""经常投诉\""我\"""", ""周末请\""我\""去吃饭"", ""从来没见过面"", ""不理\""我\""""]",1
35,7,5,这篇文章最后想告诉我们什么？,"[""城市生活比农村好"", ""邻居都不友好"", ""陌生的地方也能慢慢变成家"", ""搬家很麻烦，应该避免""]",2
36,8,1,"""我""是从哪里领养豆豆的？","[""宠物商店"", ""网上"", ""收容所"", ""朋友家""]",2
37,8,2,豆豆刚来的时候是什么样子的？,"[""很喜欢吃东西"", ""很害怕，躲起来"", ""一直叫"", ""很活泼""]",1
38,8,3,"""我""是怎么让豆豆慢慢适应新家的？","[""每天陪着它，跟它说话"", ""不管它"", ""送去宠物店"", ""把它关起来""]",0
39,8,4,现在豆豆每天早上会做什么？,"[""自己出门"", ""准时把\""我\""叫醒"", ""一直睡觉"", ""不理\""我\""""]",1
40,8,5,"""我""觉得养宠物带来了什么？","[""只有麻烦，没有好处"", ""没有任何变化"", ""责任感和陪伴"", ""经济负担""]",2
41,9,1,小李最近有什么变化？,"[""经常出差"", ""迷上了游戏，声音很大"", ""生病了"", ""搬走了""]",1
42,9,2,"""我""一开始是怎么处理这个问题的？","[""马上找他吵架"", ""直接搬走"", ""在心里忍着"", ""找房东投诉""]",2
43,9,3,"""我""最后是怎么解决这个问题的？","[""一直不说"", ""主动跟小李沟通"", ""找朋友帮忙"", ""报警""]",1
44,9,4,"小李听了""我""的想法以后怎么做？","[""道歉并说以后戴耳机"", ""继续大声玩游戏"", ""没有反应"", ""生气了""]",0
45,9,5,"这次经历让""我""明白了什么？","[""应该一直忍着"", ""室友都不好相处"", ""游戏对关系影响不大"", ""直接沟通比忍耐更有效""]",3
46,10,1,"""我""多大年纪开始学游泳？","[""二十五岁"", ""二十岁"", ""三十岁"", ""十五岁""]",0
47,10,2,"第一节课的时候，""我""是什么表现？","[""很轻松"", ""不敢把头放进水里"", ""已经会游了"", ""没有去上课""]",1
48,10,3,"教练是怎么教""我""的？","[""先教换气，再教手脚动作"", ""让\""我\""自己练习"", ""直接让\""我\""下水"", ""批评\""我\""""]",0
49,10,4,"经过多长时间的练习，""我""能游到对岸了？","[""半年"", ""一年"", ""两个多月"", ""一个星期""]",2
50,10,5,"这次学游泳的经历让""我""明白了什么？","[""应该早点学"", ""游泳很难，不该学"", ""教练很重要"", ""只要坚持，什么时候开始都不晚""]",3
51,11,1,朋友们本来说要做什么？,"[""送礼物"", ""一起吃饭(普通聚餐)"", ""开惊喜生日会"", ""出去旅行""]",1
52,11,2,"走进餐厅的时候，""我""是什么反应？","[""生气了"", ""愣住了，没反应过来"", ""很平静"", ""提前就知道了""]",1
53,11,3,朋友们准备惊喜花了多长时间？,"[""半年"", ""一天"", ""一个星期"", ""快一个月""]",3
54,11,4,朋友们送了什么特别的礼物？,"[""衣服"", ""用照片做的相册"", ""旅行机票"", ""手机""]",1
55,11,5,"""我""从这次生日会中体会到了什么？","[""朋友们很忙"", ""生日不重要"", ""惊喜派对很麻烦"", ""真正的朋友愿意花心思让你感受到被重视""]",3
56,12,1,"""我""为什么会迷路？","[""坐错了车"", ""下大雨看不清路"", ""手机没电了"", ""不用导航，靠自己走""]",3
57,12,2,"迷路的时候，""我""的心情怎么样？","[""越来越着急"", ""很生气"", ""很轻松"", ""完全不担心""]",0
58,12,3,"""我""是向谁问的路？","[""卖水果的老爷爷"", ""警察"", ""出租车司机"", ""酒店服务员""]",0
59,12,4,"老爷爷除了告诉""我""怎么走，还做了什么？","[""画了一张地图"", ""什么都没做"", ""打车送\""我\""回去"", ""打电话给酒店""]",0
60,12,5,"这次经历让""我""明白了什么？","[""出差很麻烦"", ""应该一直用导航"", ""陌生的地方不能去"", ""只要愿意开口问路，总能找到办法""]",3
61,13,1,奶奶的孩子们平时怎么样？,"[""住在同一栋楼"", ""经常回来看她"", ""在外地工作，很少回来"", ""已经去世了""]",2
62,13,2,"""我""和奶奶是怎么开始熟悉起来的？","[""\""我\""帮她拿了重的东西"", ""一起旅行"", ""她主动来敲门"", ""通过朋友介绍""]",0
63,13,3,"""我""经常为奶奶做什么？","[""帮她做需要力气的事情"", ""给她钱"", ""带她去医院"", ""教她用手机""]",0
64,13,4,"奶奶经常为""我""做什么？","[""借钱给\""我\"""", ""介绍工作"", ""打扫房间"", ""做点心给\""我\""""]",3
