id,group_id,word_id,role,order_index
1,1,56,left,1
2,1,397,right,1
3,1,93,left,2
4,1,323,right,2
5,1,202,left,3
6,1,226,right,3
7,1,114,left,4
8,1,619,right,4
9,1,554,left,5
10,1,636,right,5
11,1,312,left,6
12,1,386,right,6
13,1,288,left,7
14,1,146,right,7
15,1,211,left,8
16,1,366,right,8
17,1,257,left,9
18,1,274,right,9
19,1,456,left,10
20,1,370,right,10
21,1,210,left,11
22,1,303,right,11
23,1,409,left,12
24,1,1625,right,12
25,1,138,left,13
26,1,151,right,13
27,1,1756,left,14
28,1,3259,right,14
29,1,227,left,15
30,1,3364,right,15
31,1,259,left,16
32,1,1832,right,16
33,1,126,left,17
34,1,895,right,17
35,1,450,left,18
36,1,783,right,18
37,1,814,left,19
38,1,396,right,19
39,1,225,left,20
40,1,855,right,20
41,1,178,left,21
42,1,48,right,21
43,1,203,left,22
44,1,301,right,22
45,1,1,left,23
46,1,2926,right,23
47,1,713,left,24
48,1,6,right,24
49,1,91,left,25
50,1,55,right,25
51,2,116,set1,1
52,2,797,set1,1
53,2,817,set1,1
54,2,284,set2,2
55,2,1713,set2,2
56,2,229,set3,3
57,2,1678,set3,3
58,2,1951,set4,4
59,2,719,set4,4
60,2,1993,set5,5
61,2,2092,set5,5
62,2,1660,set6,6
63,2,1703,set6,6
64,2,1518,set7,7
65,2,784,set8,8
66,2,40,set8,8
67,3,426,,1
68,3,96,,2
69,3,310,,3
70,3,350,,4
71,3,381,,5
72,3,215,,6
73,3,286,,7
74,3,4,,8
75,3,184,,9
76,3,331,,10
77,3,7,,11
78,3,913,,12
79,3,1042,,13
80,4,716,,1
81,4,822,,2
82,4,713,,3
83,4,6,,4
84,4,730,,5
85,4,853,,6
86,4,3586,,7
87,4,717,,8
88,4,823,,9
89,4,715,,10
90,4,505,,11
91,4,731,,12
92,4,854,,13
93,5,412,,1
94,5,413,,2
95,5,182,,3
96,5,245,,4
97,5,499,,5
98,5,395,,6
99,5,1127,,7
100,5,1128,,8
101,6,5,,1
102,6,224,,2
103,6,119,,3
104,6,176,,4
105,6,70,,5
106,6,231,,6
107,6,425,,7
108,6,256,,8
109,6,97,,9
110,6,279,,10
111,7,117,,1
112,7,22,,2
113,7,18,,3
114,7,751,,4
115,7,2104,,5
116,7,1202,,6
117,7,1012,,7
118,7,1249,,8
119,7,1911,,9
120,7,2150,,10
121,7,1049,,11
122,7,53,,12
123,8,207,,1
124,8,419,,2
125,8,341,,3
126,8,486,,4
127,8,21,,5
128,8,282,,6
129,8,421,,7
130,8,438,,8
131,8,287,,9
132,8,339,,10
133,9,46,,1
134,9,144,,2
135,9,190,,3
136,9,360,,4
137,9,348,,5
138,9,406,,6
139,9,89,,7
140,9,489,,8
141,9,281,,9
142,9,347,,10
143,9,123,,11
144,9,420,,12
145,10,56,,1
146,10,397,,2
147,10,138,,3
148,10,284,,4
149,10,116,,5
150,10,227,,6
151,10,209,,7
152,10,113,,8
153,10,503,,9
154,10,895,,10
155,11,379,,1
156,11,269,,2
157,11,353,,3
158,11,354,,4
159,11,380,,5
160,11,270,,6
161,11,355,,7
162,11,464,,8
163,11,248,,9
164,11,324,,10
165,11,329,,11
166,12,426,,1
167,12,96,,2
168,12,310,,3
169,12,350,,4
170,12,381,,5
171,12,215,,6
172,12,286,,7
173,12,4,,8
174,12,184,,9
175,12,331,,10
176,12,7,,11
177,12,913,,12
178,12,1042,,13
179,13,117,,1
180,13,22,,2
181,13,18,,3
182,13,751,,4
183,13,2104,,5
184,13,1202,,6
185,13,1012,,7
186,13,1249,,8
187,13,1911,,9
188,13,2150,,10
189,13,1049,,11
190,13,53,,12
191,14,453,,1
192,14,54,,2
193,14,91,,3
194,14,120,,4
195,14,1249,,5
196,14,1271,,6
197,14,1075,,7
198,14,1046,,8
199,15,145,,1
200,15,424,,2
201,15,88,,3
202,15,131,,4
203,15,183,,5
204,15,545,,6
205,15,452,,7
206,15,1162,,8
207,15,106,,9
208,15,1126,,10
209,16,208,,1
210,16,66,,2
211,16,65,,3
212,16,613,,4
213,16,222,,5
214,16,267,,6
215,16,3,,7
216,16,463,,8
217,17,143,,1
218,17,604,,2
219,17,1141,,3
220,17,991,,4
221,17,988,,5
222,17,948,,6
223,17,735,,7
224,18,500,,1
225,18,1051,,2
