id,style,situation,hsk_level,hanzi,pinyin,meaning_ja
1,colloquial,友達との約束,5,周末有空吗？一起去看电影吧。,Zhōumò yǒu kòng ma? Yìqǐ qù kàn diànyǐng ba.,週末暇？一緒に映画見に行こうよ。
2,colloquial,友達との約束,5,我们几点在老地方见面？,Wǒmen jǐ diǎn zài lǎo dìfang jiànmiàn?,何時にいつもの場所で会う？
3,colloquial,友達との約束,5,你今天晚上有什么安排吗？,Nǐ jīntiān wǎnshang yǒu shénme ānpái ma?,今夜何か予定ある？
4,colloquial,友達との約束,5,好久不见，找时间聚一聚吧。,"Hǎojiǔ bú jiàn, zhǎo shíjiān jù yi jù ba.",久しぶりだね、そのうち集まろうよ。
5,colloquial,友達との約束,5,我们改天再约吧，我今天有点忙。,"Wǒmen gǎitiān zài yuē ba, wǒ jīntiān yǒudiǎn máng.",また今度約束しよう、今日はちょっと忙しくて。
6,colloquial,友達との約束,5,你要不要跟我们一起去爬山？,Nǐ yào bu yào gēn wǒmen yìqǐ qù páshān?,一緒に登山に行かない？
7,colloquial,友達との約束,5,到时候我去楼下等你。,Dào shíhou wǒ qù lóuxià děng nǐ.,その時になったら下で待ってるね。
8,colloquial,友達との約束,5,我们几点集合比较合适？,Wǒmen jǐ diǎn jíhé bǐjiào héshì?,何時に集合するのがいいかな？
9,colloquial,友達との約束,5,要是下雨的话，我们就改天吧。,"Yàoshi xià yǔ dehuà, wǒmen jiù gǎitiān ba.",もし雨だったら、日を改めよう。
10,colloquial,友達との約束,5,别忘了带伞，天气预报说会下雨。,"Bié wàng le dài sǎn, tiānqì yùbào shuō huì xià yǔ.",傘を持ってくるの忘れないで、天気予報で雨って言ってたから。
11,colloquial,友達との約束,5,到了以后给我打个电话。,Dào le yǐhòu gěi wǒ dǎ ge diànhuà.,着いたら電話してね。
12,colloquial,友達との約束,5,这次说好了，可不能再放我鸽子了。,"Zhè cì shuō hǎo le, kě bù néng zài fàng wǒ gēzi le.",今回は約束したんだから、もうすっぽかさないでよ。
13,colloquial,友達との約束,5,我们去年去过的那家咖啡厅还开着吗？,Wǒmen qùnián qù guo de nà jiā kāfēitīng hái kāi zhe ma?,去年行ったあのカフェ、まだやってるかな？
14,colloquial,友達との約束,5,周五晚上一起吃饭怎么样？,Zhōuwǔ wǎnshang yìqǐ chī fàn zěnmeyàng?,金曜の夜、一緒にご飯どう？
15,colloquial,友達との約束,5,我可能会晚到十分钟左右，你先进去吧。,"Wǒ kěnéng huì wǎn dào shí fēnzhōng zuǒyòu, nǐ xiān jìnqù ba.",10分くらい遅れるかも、先に入ってて。
16,colloquial,友達との約束,5,这周末我没事，随时都可以。,"Zhè zhōumò wǒ méi shì, suíshí dōu kěyǐ.",今週末は暇だから、いつでも大丈夫。
17,colloquial,友達との約束,5,我们好像已经好几个月没见了。,Wǒmen hǎoxiàng yǐjīng hǎo jǐ ge yuè méi jiàn le.,もう何ヶ月も会ってない気がする。
18,colloquial,買い物・値段交渉,5,这个可以便宜一点吗？,Zhège kěyǐ piányi yìdiǎn ma?,これ、もう少し安くなりますか？
