level,hanzi,pinyin,meaning_ja
5,变动,biàndòng,変動
5,便利,biànlì,便利
5,便条,biàntiáo,メモ
5,边境,biānjìng,国境
5,编辑,biānjí,編集
5,拜访,bàifǎng,訪問
5,扮演,bànyǎn,演じる
5,报答,bàodá,恩返し
5,报警,bàojǐng,通報
5,抱怨,bàoyuàn,不満
5,拔,bá,抜く
5,辈,bèi,世代
5,被动,bèidòng,受動
5,必,bì,必ず
5,毕竟,bìjìng,結局
5,闭幕,bìmù,閉幕
5,闭幕式,bìmùshì,閉幕式
5,病毒,bìngdú,ウイルス
5,必需,bìxū,必須
5,博客,bókè,ブログ
5,博览会,bólǎnhuì,博覧会
5,薄弱,bóruò,脆弱
5,博物馆,bówùguǎn,博物館
5,不曾,bùcéng,かつてない
5,不敢当,bùgǎndāng,おこがましい
5,不良,bùliáng,悪い、良くない、品質が悪い（形容詞として一般的に使う。日本語の「不良」のような「不良少年・不良品」に限定されたニュアンスではない）
5,不免,bùmiǎn,避けられない
5,不能不,bùnéngbù,どうしても
5,不时,bùshí,時折
5,不停,bùtíng,絶えず
5,部位,bùwèi,部位
5,不许,bùxǔ,禁止
5,不止,bùzhǐ,止まらない
5,不足,bùzú,不足
5,不得了,búdéliǎo,大変なこと
5,不顾,búgù,顧みない
5,不利,búlì,不利
5,不耐烦,búnàifán,苛立ち
5,不幸,búxìng,不幸
5,不易,búyì,容易ではない
5,包围,bāowéi,包囲
5,包装,bāozhuāng,包装
5,悲剧,bēijù,悲劇
5,悲伤,bēishāng,悲しみ
5,北极,běijí,北極
5,本人,běnrén,本人
5,宾馆,bīnguǎn,ホテル
5,玻璃,bōli,ガラス
5,版,bǎn,〜版（例：出版）、版
5,保卫,bǎowèi,防衛
5,保养,bǎoyǎng,メンテナンス
5,彼此,bǐcǐ,互いに
5,比方,bǐfāng,例えば
5,饼,bǐng,ケーキ
5,比重,bǐzhòng,比重
5,补偿,bǔcháng,補償
5,补贴,bǔtiē,補助金
5,创立,chuànglì,設立
5,传达,chuándá,伝達
5,传递,chuándì,伝達する
5,传真,chuánzhēn,ファックス
5,窗帘,chuānglián,カーテン
5,闯,chuǎng,乱入
5,倡导,chàngdǎo,提唱
5,肠,cháng,腸
5,尝,cháng,味わう
5,长度,chángdù,長さ
5,尝试,chángshì,試す
5,长寿,chángshòu,長寿
5,查询,cháxún,検索
5,承办,chéngbàn,主催
5,成本,chéngběn,コスト
5,乘车,chéngchē,乗車
5,成交,chéngjiāo,成約
5,城里,chénglǐ,街中
5,成效,chéngxiào,成果
5,成语,chéngyǔ,成語
5,池子,chízi,池
5,臭,chòu,臭い
5,愁,chóu,憂い
5,除非,chúfēi,～でない限り
5,除夕,chúxī,大晦日
5,叉,chā,フォーク
5,插,chā,挿す
5,差别,chābié,違い
5,拆,chāi,解体
5,拆除,chāichú,解体
5,差距,chājù,差
5,超越,chāoyuè,超越
5,叉子,chāzi,フォーク
5,称号,chēnghào,称号
5,车主,chēzhǔ,車の所有者
5,吃力,chīlì,苦労
5,冲动,chōngdòng,衝動
5,冲突,chōngtū,衝突
5,充足,chōngzú,十分
5,出版,chūbǎn,出版
5,出汗,chūhàn,汗をかく
5,初期,chūqī,初期
5,出于,chūyú,～から
5,场面,chǎngmiàn,場面
5,厂长,chǎngzhǎng,工場長
5,产业,chǎnyè,産業
5,丑,chǒu,醜い（みにくい）
5,处罚,chǔfá,処罰
5,处分,chǔfèn,処分
5,处在,chǔzài,～にある
5,脆,cuì,もろい
5,裁判,cáipàn,審判
5,册,cè,冊子
5,层次,céngcì,レベル
5,辞典,cídiǎn,辞書
5,辞职,cízhí,辞職
5,从而,cóng’ér,それによって
5,寸,cùn,一寸
5,存款,cúnkuǎn,預金
5,猜测,cāicè,推察
5,餐馆,cānguǎn,食堂
5,餐饮,cānyǐn,飲食
5,聪明,cōngming,賢い
5,采购,cǎigòu,調達
5,彩票,cǎipiào,宝くじ
5,草原,cǎoyuán,草原
5,此后,cǐhòu,その後
5,此刻,cǐkè,今この瞬間
5,此时,cǐshí,今この時
5,电池,diànchí,電池
5,电饭锅,diànfànguō,炊飯器
