id,hsk_level,words_shuffled,correct_sentence,meaning_ja
1,1,"[""随时"", ""你"", ""来"", ""坐"", ""随便"", ""都"", ""可以""]",你随便坐，随时都可以来。,自由に座ってください、いつでも来ていいですよ。
2,1,"[""强"", ""他"", ""成功"", ""这么"", ""能力"", ""呢"", ""的"", ""能不能""]",他的能力这么强，能不能成功呢？,彼の能力はこんなに強いのに、成功できるだろうか？
3,1,"[""汉语"", ""在"", ""学"", ""孩子""]",孩子在学汉语。,子供は中国語を勉強しています。
4,1,"[""多少"", ""你"", ""要""]",你要多少？,あなたはいくつ欲しいですか。
5,1,"[""到达"", ""五"", ""分钟"", ""提前"", ""十"", ""请""]",请提前十五分钟到达。,15分前に到着してください。
6,1,"[""鸡蛋"", ""有"", ""早饭""]",早饭有鸡蛋。,朝ごはんに卵があります。
7,1,"[""设立"", ""设计"", ""后"", ""新"", ""购买"", ""公司"", ""并"", ""了"", ""设备""]",公司设立后，设计并购买了新设备。,会社は設立後、新しい設備を設計して購入した。
8,1,"[""可以"", ""钱"", ""手机"", ""用"", ""你"", ""付""]",你可以用手机付钱。,携帯電話で支払うことができます。
9,1,"[""整天"", ""了"", ""一"", ""里"", ""他"", ""在家"", ""待""]",他在家里待了一整天。,彼は一日中家にいました。
10,1,"[""再也"", ""到"", ""没有"", ""从此"", ""迟"", ""以后"", ""他""]",从此以后，他再也没有迟到。,それ以来、彼は二度と遅刻しませんでした。
11,1,"[""你"", ""是"", ""哪"", ""那里"", ""个"", ""那边"", ""的""]",哪个是你的？那边那里。,どれがあなたのですか？あちら、あそこです。
12,1,"[""帅"", ""很"", ""衣服"", ""新"", ""上"", ""后"", ""穿"", ""他"", ""样子""]",他穿上新衣服后，样子很帅。,彼は新しい服を着てとてもハンサムだった。
13,1,"[""例子"", ""一"", ""个"", ""请"", ""你"", ""举""]",请你举一个例子。,例を挙げてください。
14,1,"[""请"", ""些"", ""食品"", ""等"", ""买"", ""水果""]",请买些水果等食品。,果物やその他の食べ物を買ってください。
15,1,"[""的"", ""奶"", ""那些"", ""是"", ""奶奶""]",那些是奶奶的奶。,あれらはおばあちゃんのミルクです。
16,2,"[""了"", ""走"", ""就要"", ""也"", ""我"", ""快要"", ""了"", ""他"", ""走""]",他就要走了，我也快要走了。,彼はもうすぐ出発します、私ももうすぐ出発します。
17,2,"[""他"", ""奇怪"", ""很"", ""样子"", ""的""]",他的样子很奇怪。,彼の様子はとても変です。
18,2,"[""我"", ""北京"", ""去"", ""前年"", ""了""]",前年我去了北京。,一昨年私は北京に行きました。
19,2,"[""是"", ""他"", ""人"", ""南方""]",他是南方人。,彼は南方の人です。
