id,conversation_id,line_order,speaker,hanzi,pinyin,meaning_ja,segs,source_site
1,1,1,小明,你好！我叫小明，你呢？,"Nǐ hǎo! Wǒ jiào Xiǎomíng, nǐ ne?",こんにちは！僕は小明といいます、あなたは？,"[{""text"": ""你好"", ""type"": ""vocab"", ""py"": ""nǐhǎo"", ""note"": ""こんにちは""}, {""text"": ""！"", ""type"": ""punct""}, {""text"": ""我"", ""type"": ""vocab"", ""py"": ""wǒ"", ""note"": ""私""}, {""text"": ""叫"", ""type"": ""grammar"", ""py"": ""jiào"", ""note"": ""「（人に）〜させる」使役、または「〜という名前だ」を表す動詞。""}, {""text"": ""小明"", ""type"": ""vocab"", ""py"": ""xiǎomíng"", ""note"": ""（人名）""}, {""text"": ""，"", ""type"": ""punct""}, {""text"": ""你"", ""type"": ""vocab"", ""py"": ""nǐ"", ""note"": ""あなた""}, {""text"": ""呢"", ""type"": ""grammar"", ""py"": ""ne"", ""note"": ""疑問文を柔らかくしたり「〜は？」と聞き返すときに使う文末助詞。""}, {""text"": ""？"", ""type"": ""punct""}]",HSKspeaking_practice
2,1,2,丽丽,你好，我叫丽丽。认识你很高兴。,"Nǐ hǎo, wǒ jiào Lìli. Rènshi nǐ hěn gāoxìng.",こんにちは、私は丽丽です。あなたに会えて嬉しいです。,"[{""text"": ""你好"", ""type"": ""vocab"", ""py"": ""nǐhǎo"", ""note"": ""こんにちは""}, {""text"": ""，"", ""type"": ""punct""}, {""text"": ""我"", ""type"": ""vocab"", ""py"": ""wǒ"", ""note"": ""私""}, {""text"": ""叫"", ""type"": ""grammar"", ""py"": ""jiào"", ""note"": ""「（人に）〜させる」使役、または「〜という名前だ」を表す動詞。""}, {""text"": ""丽丽"", ""type"": ""vocab"", ""py"": ""lìlì"", ""note"": ""（人名）""}, {""text"": ""。"", ""type"": ""punct""}, {""text"": ""认识"", ""type"": ""vocab"", ""py"": ""rènshí"", ""note"": ""知り合う、知っている""}, {""text"": ""你"", ""type"": ""vocab"", ""py"": ""nǐ"", ""note"": ""あなた""}, {""text"": ""很"", ""type"": ""grammar"", ""py"": ""hěn"", ""note"": ""「とても」を表す程度の副詞。形容詞文でよく使われる。""}, {""text"": ""高兴"", ""type"": ""vocab"", ""py"": ""gāoxìng"", ""note"": ""うれしい""}, {""text"": ""。"", ""type"": ""punct""}]",HSKspeaking_practice
3,1,3,小明,我也很高兴认识你。你是学生吗？,Wǒ yě hěn gāoxìng rènshi nǐ. Nǐ shì xuéshēng ma?,僕もあなたに会えて嬉しいです。あなたは学生ですか？,"[{""text"": ""我"", ""type"": ""vocab"", ""py"": ""wǒ"", ""note"": ""私""}, {""text"": ""也"", ""type"": ""grammar"", ""py"": ""yě"", ""note"": ""「〜も」を表す副詞。""}, {""text"": ""很"", ""type"": ""grammar"", ""py"": ""hěn"", ""note"": ""「とても」を表す程度の副詞。形容詞文でよく使われる。""}, {""text"": ""高兴"", ""type"": ""vocab"", ""py"": ""gāoxìng"", ""note"": ""うれしい""}, {""text"": ""认识"", ""type"": ""vocab"", ""py"": ""rènshí"", ""note"": ""知り合う、知っている""}, {""text"": ""你"", ""type"": ""vocab"", ""py"": ""nǐ"", ""note"": ""あなた""}, {""text"": ""。"", ""type"": ""punct""}, {""text"": ""你"", ""type"": ""vocab"", ""py"": ""nǐ"", ""note"": ""あなた""}, {""text"": ""是"", ""type"": ""grammar"", ""py"": ""shì"", ""note"": ""「〜である」を表すbe動詞。""}, {""text"": ""学生"", ""type"": ""vocab"", ""py"": ""xuéshēng"", ""note"": ""学生""}, {""text"": ""吗"", ""type"": ""grammar"", ""py"": ""ma"", ""note"": ""「はい/いいえ」で答える疑問文を作る文末助詞。""}, {""text"": ""？"", ""type"": ""punct""}]",HSKspeaking_practice
4,1,4,丽丽,是，我是学生。你也是学生吗？,"Shì, wǒ shì xuéshēng. Nǐ yě shì xuéshēng ma?",はい、私は学生です。あなたも学生ですか？,"[{""text"": ""是"", ""type"": ""grammar"", ""py"": ""shì"", ""note"": ""「〜である」を表すbe動詞。""}, {""text"": ""，"", ""type"": ""punct""}, {""text"": ""我"", ""type"": ""vocab"", ""py"": ""wǒ"", ""note"": ""私""}, {""text"": ""是"", ""type"": ""grammar"", ""py"": ""shì"", ""note"": ""「〜である」を表すbe動詞。""}, {""text"": ""学生"", ""type"": ""vocab"", ""py"": ""xuéshēng"", ""note"": ""学生""}, {""text"": ""。"", ""type"": ""punct""}, {""text"": ""你"", ""type"": ""vocab"", ""py"": ""nǐ"", ""note"": ""あなた""}, {""text"": ""也"", ""type"": ""grammar"", ""py"": ""yě"", ""note"": ""「〜も」を表す副詞。""}, {""text"": ""是"", ""type"": ""grammar"", ""py"": ""shì"", ""note"": ""「〜である」を表すbe動詞。""}, {""text"": ""学生"", ""type"": ""vocab"", ""py"": ""xuéshēng"", ""note"": ""学生""}, {""text"": ""吗"", ""type"": ""grammar"", ""py"": ""ma"", ""note"": ""「はい/いいえ」で答える疑問文を作る文末助詞。""}, {""text"": ""？"", ""type"": ""punct""}]",HSKspeaking_practice
5,1,5,小明,我也是学生。我今年二十岁，你呢？,"Wǒ yě shì xuéshēng. Wǒ jīnnián èrshí suì, nǐ ne?",僕も学生です。僕は今年20歳です、あなたは？,"[{""text"": ""我"", ""type"": ""vocab"", ""py"": ""wǒ"", ""note"": ""私""}, {""text"": ""也"", ""type"": ""grammar"", ""py"": ""yě"", ""note"": ""「〜も」を表す副詞。""}, {""text"": ""是"", ""type"": ""grammar"", ""py"": ""shì"", ""note"": ""「〜である」を表すbe動詞。""}, {""text"": ""学生"", ""type"": ""vocab"", ""py"": ""xuéshēng"", ""note"": ""学生""}, {""text"": ""。"", ""type"": ""punct""}, {""text"": ""我"", ""type"": ""vocab"", ""py"": ""wǒ"", ""note"": ""私""}, {""text"": ""今年"", ""type"": ""vocab"", ""py"": ""jīnnián"", ""note"": ""今年""}, {""text"": ""二十岁"", ""type"": ""vocab"", ""py"": ""èrshísuì"", ""note"": ""20歳""}, {""text"": ""，"", ""type"": ""punct""}, {""text"": ""你"", ""type"": ""vocab"", ""py"": ""nǐ"", ""note"": ""あなた""}, {""text"": ""呢"", ""type"": ""grammar"", ""py"": ""ne"", ""note"": ""疑問文を柔らかくしたり「〜は？」と聞き返すときに使う文末助詞。""}, {""text"": ""？"", ""type"": ""punct""}]",HSKspeaking_practice
6,1,6,丽丽,我今年十九岁。你家有几口人？,Wǒ jīnnián shíjiǔ suì. Nǐ jiā yǒu jǐ kǒu rén?,私は今年19歳です。あなたの家族は何人ですか？,"[{""text"": ""我"", ""type"": ""vocab"", ""py"": ""wǒ"", ""note"": ""私""}, {""text"": ""今年"", ""type"": ""vocab"", ""py"": ""jīnnián"", ""note"": ""今年""}, {""text"": ""十九岁"", ""type"": ""vocab"", ""py"": ""shíjiǔsuì"", ""note"": ""19歳""}, {""text"": ""。"", ""type"": ""punct""}, {""text"": ""你家"", ""type"": ""vocab"", ""py"": ""nǐjiā"", ""note"": ""あなたの家""}, {""text"": ""有"", ""type"": ""grammar"", ""py"": ""yǒu"", ""note"": ""「持っている、ある」を表す動詞。否定形は「没有」。""}, {""text"": ""几口"", ""type"": ""vocab"", ""py"": ""jǐkǒu"", ""note"": ""何人（家族を数える）""}, {""text"": ""人"", ""type"": ""vocab"", ""py"": ""rén"", ""note"": ""人""}, {""text"": ""？"", ""type"": ""punct""}]",HSKspeaking_practice
7,1,7,小明,我家有四口人：爸爸、妈妈、姐姐和我。,"Wǒ jiā yǒu sì kǒu rén: bàba, māma, jiějie hé wǒ.",僕の家は4人家族です：父、母、姉、そして僕です。,"[{""text"": ""我家"", ""type"": ""vocab"", ""py"": ""wǒjiā"", ""note"": ""私の家""}, {""text"": ""有"", ""type"": ""grammar"", ""py"": ""yǒu"", ""note"": ""「持っている、ある」を表す動詞。否定形は「没有」。""}, {""text"": ""四口"", ""type"": ""vocab"", ""py"": ""sìkǒu"", ""note"": ""4人（家族）""}, {""text"": ""人"", ""type"": ""vocab"", ""py"": ""rén"", ""note"": ""人""}, {""text"": ""："", ""type"": ""punct""}, {""text"": ""爸爸"", ""type"": ""vocab"", ""py"": ""bàbà"", ""note"": ""お父さん""}, {""text"": ""、"", ""type"": ""punct""}, {""text"": ""妈妈"", ""type"": ""vocab"", ""py"": ""māmā"", ""note"": ""お母さん""}, {""text"": ""、"", ""type"": ""punct""}, {""text"": ""姐姐"", ""type"": ""vocab"", ""py"": ""jiějiě"", ""note"": ""お姉さん""}, {""text"": ""和"", ""type"": ""grammar"", ""py"": ""hé"", ""note"": ""「〜と」を表す接続詞・介詞。""}, {""text"": ""我"", ""type"": ""vocab"", ""py"": ""wǒ"", ""note"": ""私""}, {""text"": ""。"", ""type"": ""punct""}]",HSKspeaking_practice
8,1,8,丽丽,你喜欢什么运动？,Nǐ xǐhuan shénme yùndòng?,あなたはどんなスポーツが好きですか？,"[{""text"": ""你"", ""type"": ""vocab"", ""py"": ""nǐ"", ""note"": ""あなた""}, {""text"": ""喜欢"", ""type"": ""vocab"", ""py"": ""xǐhuān"", ""note"": ""好きだ、気に入る""}, {""text"": ""什么"", ""type"": ""vocab"", ""py"": ""shénme"", ""note"": ""何""}, {""text"": ""运动"", ""type"": ""vocab"", ""py"": ""yùndòng"", ""note"": ""運動、スポーツ""}, {""text"": ""？"", ""type"": ""punct""}]",HSKspeaking_practice
9,1,9,小明,我喜欢打篮球，你呢？,"Wǒ xǐhuan dǎ lánqiú, nǐ ne?",僕はバスケットボールが好きです、あなたは？,"[{""text"": ""我"", ""type"": ""vocab"", ""py"": ""wǒ"", ""note"": ""私""}, {""text"": ""喜欢"", ""type"": ""vocab"", ""py"": ""xǐhuān"", ""note"": ""好きだ、気に入る""}, {""text"": ""打篮球"", ""type"": ""vocab"", ""py"": ""dǎlánqiú"", ""note"": ""バスケットボールをする""}, {""text"": ""，"", ""type"": ""punct""}, {""text"": ""你"", ""type"": ""vocab"", ""py"": ""nǐ"", ""note"": ""あなた""}, {""text"": ""呢"", ""type"": ""grammar"", ""py"": ""ne"", ""note"": ""疑問文を柔らかくしたり「〜は？」と聞き返すときに使う文末助詞。""}, {""text"": ""？"", ""type"": ""punct""}]",HSKspeaking_practice
10,1,10,丽丽,我喜欢游泳。我们做朋友吧！,Wǒ xǐhuan yóuyǒng. Wǒmen zuò péngyou ba!,私は水泳が好きです。友達になりましょう！,"[{""text"": ""我"", ""type"": ""vocab"", ""py"": ""wǒ"", ""note"": ""私""}, {""text"": ""喜欢"", ""type"": ""vocab"", ""py"": ""xǐhuān"", ""note"": ""好きだ、気に入る""}, {""text"": ""游泳"", ""type"": ""vocab"", ""py"": ""yóuyǒng"", ""note"": ""泳ぐ""}, {""text"": ""。"", ""type"": ""punct""}, {""text"": ""我们"", ""type"": ""vocab"", ""py"": ""wǒmen"", ""note"": ""私たち""}, {""text"": ""做"", ""type"": ""vocab"", ""py"": ""zuò"", ""note"": ""する、作る""}, {""text"": ""朋友"", ""type"": ""vocab"", ""py"": ""péngyǒu"", ""note"": ""友達""}, {""text"": ""吧"", ""type"": ""grammar"", ""py"": ""ba"", ""note"": ""提案・推量・軽い命令を表す文末助詞（〜しよう、〜でしょう）。""}, {""text"": ""！"", ""type"": ""punct""}]",HSKspeaking_practice
