id,hsk_level,mode,text_zh,correct_answer,choices
1,1,choice,生日,誕生日,"[""朝"", ""話す、言う"", ""5"", ""誕生日""]"
2,1,choice,打车,タクシーに乗る,"[""出る"", ""肉まん"", ""タクシーに乗る"", ""北""]"
3,1,choice,帮,手伝う,"[""部屋"", ""財布"", ""手伝う"", ""外国語""]"
4,1,choice,我们,私たち,"[""〜と"", ""去年"", ""休む、休憩する"", ""私たち""]"
5,1,choice,好玩儿,面白い、楽しい,"[""飲む"", ""面白い、楽しい"", ""場所"", ""お姉さん""]"
6,1,choice,贵,（値段が）高い,"[""（値段が）高い"", ""出ていく"", ""出る"", ""授業""]"
7,1,choice,告诉,伝える、教える,"[""トイレ"", ""伝える、教える"", ""ノート"", ""忘れる""]"
8,1,choice,电,電気,"[""電気"", ""知識"", ""歌を歌う"", ""試験""]"
9,1,choice,问,尋ねる、聞く,"[""どうぞお入りください"", ""レストラン・ホテル"", ""聞こえる"", ""尋ねる、聞く""]"
10,1,choice,次,〜回(量詞),"[""花"", ""歌を歌う"", ""〜回(量詞)"", ""小さい""]"
11,1,dictation,花,花,
12,1,dictation,面条儿,面条儿,
13,1,dictation,是,是,
14,1,dictation,医院,医院,
15,1,dictation,考,考,
16,1,dictation,都,都,
17,1,dictation,渴,渴,
18,1,dictation,开玩笑,开玩笑,
19,1,dictation,干什么,干什么,
20,1,dictation,岁,岁,
21,2,choice,街,街,"[""乾杯"", ""街"", ""並ぶ、列に並ぶ"", ""収入""]"
22,2,choice,主要,主に,"[""理想"", ""〜回(試合等)"", ""主に"", ""直接""]"
23,2,choice,正确,正しい,"[""正しい"", ""出発する"", ""〜コマ(授業)・祝日"", ""離陸する""]"
24,2,choice,鱼,魚,"[""魚"", ""赤色"", ""月"", ""空""]"
25,2,choice,出院,退院する,"[""退院する"", ""どのくらいの間"", ""引き続き"", ""その上""]"
26,2,choice,一共,全部で,"[""全体"", ""全部で"", ""行動"", ""星""]"
27,2,choice,英文,英語,"[""対話"", ""通じる"", ""言及する"", ""英語""]"
28,2,choice,刚刚,たった今,"[""置く・下ろす"", ""たった今"", ""曇りの日"", ""復習する""]"
29,2,choice,往,〜へ向かって,"[""〜へ向かって"", ""〜編(量詞)"", ""バレーボール"", ""育てる""]"
30,2,choice,见过,会ったことがある,"[""正常"", ""来週"", ""助ける、助け"", ""会ったことがある""]"
31,2,dictation,语言,语言,
32,2,dictation,旅游,旅游,
33,2,dictation,的话,的话,
34,2,dictation,可爱,可爱,
35,2,dictation,入口,入口,
36,2,dictation,服务,服务,
37,2,dictation,使用,使用,
38,2,dictation,安静,安静,
39,2,dictation,接着,接着,
40,2,dictation,停,停,
41,3,choice,行李,荷物,"[""〜時"", ""荷物"", ""複雑"", ""革かばん""]"
42,3,choice,房屋,家屋,"[""〜くらい、前後"", ""スポーツファン"", ""訓練する"", ""家屋""]"
43,3,choice,皮包,革かばん,"[""保存する・蓄える"", ""革かばん"", ""読む・思う"", ""保険""]"
44,3,choice,自动,自動,"[""共同"", ""〜だけでなく"", ""制度"", ""自動""]"
45,3,choice,创造,創造する,"[""生じる"", ""信頼する"", ""創造する"", ""泳ぐ""]"
46,3,choice,指,指す,"[""欠点"", ""発生する"", ""指す"", ""プロセス、過程""]"
47,3,choice,事实,事実,"[""事実"", ""カリキュラム"", ""囲む"", ""加工する""]"
48,3,choice,基本,基本的な,"[""関係"", ""そもそも、根本的に"", ""医者"", ""基本的な""]"
49,3,choice,照,〜に沿って、〜通りに,"[""道具"", ""スカート"", ""〜に沿って、〜通りに"", ""設備""]"
50,3,choice,手指,指,"[""布"", ""適応する"", ""指"", ""整備する、完全にする""]"
51,3,dictation,只好,只好,
52,3,dictation,交费,交费,
53,3,dictation,长处,长处,
54,3,dictation,其次,其次,
55,3,dictation,功能,功能,
56,3,dictation,后年,后年,
57,3,dictation,跳,跳,
58,3,dictation,念,念,
59,3,dictation,歌声,歌声,
60,3,dictation,取消,取消,
61,4,choice,待,滞在する,"[""滞在する"", ""今回"", ""この"", ""延期する""]"
62,4,choice,小吃,軽食,"[""間に合う"", ""尊重する"", ""秒"", ""軽食""]"
63,4,choice,剩,残る,"[""茶葉"", ""興奮する"", ""残る"", ""宅配便""]"
64,4,choice,师生,教師と学生,"[""リラックスする"", ""〜に分かれる"", ""教師と学生"", ""しかしながら""]"
65,4,choice,母子,母子,"[""商品"", ""パスワード"", ""母子"", ""翻訳する""]"
66,4,choice,海洋,海洋,"[""読書する"", ""最終的に"", ""自習する"", ""海洋""]"
67,4,choice,游玩,遊ぶ、観光する,"[""眼鏡"", ""定刻に"", ""遊ぶ、観光する"", ""窓""]"
68,4,choice,月饼,月餅,"[""可能かどうか"", ""忘れがたい"", ""月餅"", ""ピアノ""]"
69,4,choice,辣,辛い,"[""辛い"", ""咳をする"", ""劇場"", ""時間通りに""]"
70,4,choice,放松,リラックスする,"[""すごい"", ""細い"", ""リラックスする"", ""兄弟""]"
71,4,dictation,加上,加上,
72,4,dictation,高于,高于,
73,4,dictation,厕所,厕所,
74,4,dictation,市区,市区,
75,4,dictation,严重,严重,
76,4,dictation,森林,森林,
77,4,dictation,茶叶,茶叶,
78,4,dictation,叶子,叶子,
79,4,dictation,将,将,
80,4,dictation,材料,材料,
81,5,choice,失误,ミス,"[""貴重な"", ""フォーク"", ""山積み"", ""ミス""]"
82,5,choice,频繁,頻繁,"[""中断"", ""頻繁"", ""その後"", ""連絡""]"
83,5,choice,欠,不足,"[""埠頭"", ""不足"", ""睡眠"", ""工場長""]"
84,5,choice,撞,衝突,"[""衝突"", ""楽しむ"", ""継承"", ""離脱""]"
85,5,choice,珍惜,大切にする,"[""大切にする"", ""特定の"", ""梱包"", ""外界""]"
86,5,choice,人间,人間界,"[""問い合わせ"", ""挿す"", ""ようやく"", ""人間界""]"
87,5,choice,当前,現在,"[""風光明媚"", ""検索"", ""現在"", ""認定する""]"
88,5,choice,不止,止まらない,"[""止まらない"", ""フォーク"", ""ただ"", ""指標""]"
89,5,choice,强迫,強制,"[""現在"", ""強制"", ""増"", ""明らかに""]"
90,5,choice,尝,味わう,"[""団長"", ""味わう"", ""扇子"", ""怨み""]"
91,5,dictation,制成,制成,
92,5,dictation,大纲,大纲,
93,5,dictation,锅,锅,
94,5,dictation,辞典,辞典,
95,5,dictation,众多,众多,
96,5,dictation,处罚,处罚,
97,5,dictation,学者,学者,
98,5,dictation,上涨,上涨,
99,5,dictation,当选,当选,
100,5,dictation,合并,合并,
101,6,choice,盼望,期待,"[""持ち去る"", ""長短"", ""宙吊り"", ""期待""]"
102,6,choice,进攻,攻撃,"[""美容"", ""攻撃"", ""国王"", ""器具""]"
103,6,choice,市民,市民,"[""以前"", ""貢献"", ""小児科"", ""市民""]"
104,6,choice,节,節約する（動詞用法）,"[""差異"", ""節約する（動詞用法）"", ""沿って"", ""献身""]"
105,6,choice,蒙,蒙る,"[""両側"", ""尽くす"", ""年齢"", ""蒙る""]"
106,6,choice,粥,お粥,"[""面接"", ""お粥"", ""ジャム"", ""削る""]"
107,6,choice,争夺,争奪,"[""デザイナー"", ""争奪"", ""笑顔"", ""患者""]"
108,6,choice,聊天儿,おしゃべり,"[""対外"", ""スリッパ"", ""おしゃべり"", ""操作""]"
109,6,choice,炒,投機,"[""清明節"", ""フライドポテト"", ""投機"", ""パレード""]"
110,6,choice,到期,期限切れ,"[""神様"", ""尖った、とがっている（形容詞用法）"", ""期限切れ"", ""無関係""]"
111,6,dictation,寺,寺,
112,6,dictation,捉,捉,
113,6,dictation,戏曲,戏曲,
114,6,dictation,升级,升级,
115,6,dictation,补课,补课,
116,6,dictation,法语,法语,
117,6,dictation,蒙,蒙,
118,6,dictation,患者,患者,
119,6,dictation,民工,民工,
120,6,dictation,藏,藏,
