word,pinyin,meaning_ja
你好,nǐhǎo,こんにちは
我,wǒ,私
小明,xiǎomíng,（人名）
你,nǐ,あなた
丽丽,lìlì,（人名）
认识,rènshí,知り合う、知っている
高兴,gāoxìng,うれしい
学生,xuéshēng,学生
今年,jīnnián,今年
二十岁,èrshísuì,20歳
十九岁,shíjiǔsuì,19歳
你家,nǐjiā,あなたの家
几口,jǐkǒu,何人（家族を数える）
人,rén,人
我家,wǒjiā,私の家
四口,sìkǒu,4人（家族）
爸爸,bàbà,お父さん
妈妈,māmā,お母さん
姐姐,jiějiě,お姉さん
喜欢,xǐhuān,好きだ、気に入る
什么,shénme,何
运动,yùndòng,運動、スポーツ
打篮球,dǎlánqiú,バスケットボールをする
游泳,yóuyǒng,泳ぐ
我们,wǒmen,私たち
做,zuò,する、作る
朋友,péngyǒu,友達
好,hǎo,良い、元気だ
谢谢,xièxiè,ありがとう
买,mǎi,買う
一件,yījiàn,一着（服の量詞）
衣服,yīfú,服
颜色,yánsè,色
红色,hóngsè,赤色
这件,zhèjiàn,これ（この一着）
多少钱,duōshǎoqián,いくらですか
一百二十块,yìbǎièrshíkuài,120元
钱,qián,お金
小红,xiǎohóng,（人名）
很漂亮,hěnpiàoliàng,とても綺麗だ
看看,kànkàn,ちょっと見る
不错,bùcuò,なかなか良い
八十块,bāshíkuài,80元
便宜,piányi,安い
白色,báisè,白色
去,qù,行く
买点儿,mǎidiǎnér,少し買う
水果,shuǐguǒ,果物
苹果,píngguǒ,りんご
喂,wèi,もしもし
张伟,zhāngwěi,（人名）
王芳,wángfāng,（人名）
有事吗,yǒushìma,何かあるの？
明天,míngtiān,明日
时间,shíjiān,時間
一起,yìqǐ,一緒に
吃饭,chīfàn,ご飯を食べる
几点,jǐdiǎn,何時
中午,zhōngwǔ,昼、正午
十二点,shíèrdiǎn,12時
哪儿,nǎér,どこ
吃,chī,食べる
学校,xuéxiào,学校
前边,qiánbiān,前、前方
一个,yígè,一つ
饭馆,fànguǎn,レストラン
好吃,hǎochī,おいしい
那儿,nàér,そこ、あそこ
见,jiàn,会う
欢迎光临,huānyíngguānglín,いらっしゃいませ
你们,nǐmen,あなたたち
几位,jǐwèi,何名様
两个,liǎnggè,二つ
位子,wèizi,席
这边,zhèbiān,こちら
请,qǐng,どうぞ〜してください
点儿,diǎnér,少し（量を表す）
决定,juédìng,決める、決定
菜单,càidān,メニュー
我要,wǒyào,私は〜が欲しい
宫保鸡,gōngbǎojī,宮保鶏丁（料理名の一部）
丁,dīng,角切り（料理名の一部）
一碗,yīwǎn,お椀一杯
米饭,mǐfàn,ご飯
一样,yīyàng,同じ
今天,jīntiān,今日
不太饿,bùtàiè,あまりお腹が空いていない
点得少,diǎndéshǎo,少なめに注文する
一点儿,yìdiǎnér,少し
还要,háiyào,まだ〜が必要、さらに〜したい
喝,hē,飲む
来,lái,来る
两杯,liǎngbēi,2杯
茶,chá,お茶
这家,zhèjiā,この店
菜,cài,料理
听说,tīngshuō,〜と聞いている
服务,fúwù,サービス
马上,mǎshàng,すぐに
请稍等,qǐngshāoděng,少々お待ちください
阿姨,āyí,おばさん
请问,qǐngwèn,お尋ねします
火车站,huǒchēzhàn,駅（鉄道駅）
走,zǒu,歩く、行く、離れる
往前走,wǎngqiánzǒu,前へ進む
红绿灯,hónglǜdēng,信号機
往右,wǎngyòu,右へ
拐,guǎi,曲がる
以后,yǐhòu,〜以後、これから
五分钟,wǔfēnzhōng,5分間
这儿,zhèér,ここ
远,yuǎn,遠い
不远,bùyuǎn,遠くない
不太远,bùtàiyuǎn,あまり遠くない
太好了,tàihǎole,よかった！
谢谢您,xièxiènín,ありがとうございます
客气,kèqì,遠慮する、礼儀正しい
祝,zhù,〜を祈る、願う
旅行愉快,lǚxíngyúkuài,良い旅を
再见,zàijiàn,さようなら
这个,zhège,これ
周末,zhōumò,週末
公园,gōngyuán,公園
骑,qí,（自転車などに）乗る
自行车,zìxíngchē,自転車
没想,méixiǎng,まだ考えていない
天气,tiānqì,天気
不太好,bùtàihǎo,あまり良くない
天气预报,tiānqìyùbào,天気予報
说,shuō,話す、言う
星期六,xīngqīliù,土曜日
下雨,xiàyǔ,雨が降る
那,nà,あれ、それ／それなら
星期天,xīngqītiān,日曜日
主意,zhǔyì,考え、アイデア
骑车,qíchē,自転車に乗る
聊天,liáotiān,おしゃべりする
最近,zuìjìn,最近
工作,gōngzuò,仕事、働く
忙,máng,忙しい
这么,zhème,こんなに、このように
上午,shàngwǔ,午前
十点,shídiǎn,10時
门口,ménkǒu,入り口
不见不散,bújiànbúsàn,会うまで帰らない（必ず会おうという決まり文句）
五一,wǔyī,メーデー（5月1日、連休）
假期,jiàqī,休暇、連休
云南,yúnnán,雲南（地名）
旅行,lǚxíng,旅行
那里,nàlǐ,そこ、あそこ
风景,fēngjǐng,景色
特别,tèbié,特に、特別
美,měi,美しい
上次,shàngcì,前回
去过,qùguò,行ったことがある
一次,yīcì,一回
看,kàn,見る
那个,nàge,あれ、その
地方,dìfāng,場所
提前,tíqián,前もって、早めに
机票,jīpiào,航空券
订好,dìnghǎo,予約しておく
不然,bùrán,そうでなければ
票会,piàohuì,チケットは（〜になるだろう）
很贵,hěnguì,とても高い
负责,fùzé,担当する、責任を持つ
订,dìng,予約する
酒店,jiǔdiàn,ホテル
订机票,dìngjīpiào,航空券を予約する
问题,wèntí,問題
